Sample in Buffer,Sample in Window,TRIGGER,UART_Transfer_i/clock_out_top_0/U0/fifo_count_slv[3:0],UART_Transfer_i/clock_out_top_0/U0/glitching_done,UART_Transfer_i/clock_out_top_0/U0/tdc_code[7:0],UART_Transfer_i/clock_out_top_0/U0/gpio_latched[15:0],UART_Transfer_i/clock_out_top_0/U0/display_ptr_slv[2:0],UART_Transfer_i/clock_out_top_0/U0/tdc_code_latched[7:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
522,522,0,7,0,01,0000,5,01,0080
523,523,0,7,0,01,0000,5,01,0080
524,524,0,7,0,01,0000,5,01,0080
525,525,0,7,0,01,0000,5,01,0080
526,526,0,7,0,01,0000,5,01,0080
527,527,0,7,0,01,0000,5,01,0080
528,528,0,7,0,01,0000,5,01,0080
529,529,0,7,0,01,0000,5,01,0080
530,530,0,7,0,01,0000,5,01,0080
531,531,0,7,0,01,0000,5,01,0080
532,532,0,7,0,01,0000,5,01,0080
533,533,0,7,0,01,0000,5,01,0080
534,534,0,7,0,01,0000,5,01,0080
535,535,0,7,0,01,0000,5,01,0080
536,536,0,7,0,01,0000,5,01,0080
537,537,0,7,0,01,0000,5,01,0080
538,538,0,7,0,01,0000,5,01,0080
539,539,0,7,0,01,0000,5,01,0080
540,540,0,7,0,01,0000,5,01,0080
541,541,0,7,0,01,0000,5,01,0080
542,542,0,7,0,01,0000,5,01,0080
543,543,0,7,0,01,0000,5,01,0080
544,544,0,7,0,01,0000,5,01,0080
545,545,0,7,0,01,0000,5,01,0080
546,546,0,7,0,01,0000,5,01,0080
547,547,0,7,0,01,0000,5,01,0080
548,548,0,7,0,01,0000,5,01,0080
549,549,0,7,0,01,0000,5,01,0080
550,550,0,7,0,01,0000,5,01,0080
551,551,0,7,0,01,0000,5,01,0080
552,552,0,7,0,01,0000,5,01,0080
553,553,0,7,0,01,0000,5,01,0080
554,554,0,7,0,01,0000,5,01,0080
555,555,0,7,0,01,0000,5,01,0080
556,556,0,7,0,01,0000,5,01,0080
557,557,0,7,0,01,0000,5,01,0080
558,558,0,7,0,01,0000,5,01,0080
559,559,0,7,0,01,0000,5,01,0080
